timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-81.0;0.0;-81.0
300;9.0;0.0;9.0
400;-215.0;0.0;-215.0
500;-233.0;0.0;-233.0
600;-167.0;0.0;-167.0
700;-242.0;57.0;-299.0
800;-289.0;66.0;-355.0
900;-287.0;12.0;-299.0
1000;-256.5;60.0;-316.5
1100;-81.0;78.0;-159.0
1200;-174.0;174.0;-348.0
1300;-157.5;96.0;-253.5
1400;-175.5;78.0;-253.5
1500;-163.5;90.0;-253.5
1600;-374.5;-6.0;-368.5
1700;-194.0;103.5;-297.5
1800;-216.5;81.0;-297.5
1900;-110.0;81.0;-191.0
2000;-265.5;67.5;-333.0
2100;-74.5;81.0;-155.5
2200;-252.0;81.0;-333.0
2300;-220.5;112.5;-333.0
2400;-150.0;76.5;-226.5
2500;-131.5;144.5;-276.0
2600;-210.0;146.0;-356.0
2700;-9.0;147.0;-156.0
2800;-130.0;146.0;-276.0
2900;-130.0;146.0;-276.0
3000;-91.0;145.0;-236.0
3100;31.0;147.0;-116.0
3200;-88.0;148.0;-236.0
3300;-49.0;147.0;-196.0
3400;-49.0;147.0;-196.0
3500;69.5;145.5;-76.0
3600;-49.0;147.0;-196.0
3700;-51.0;145.0;-196.0
3800;70.0;146.0;-76.0
3900;-50.0;146.0;-196.0
4000;351.0;147.0;204.0
4100;-409.5;146.5;-556.0
4200;-8.5;147.5;-156.0
4300;473.0;149.0;324.0
4400;-87.0;149.0;-236.0
4500;32.0;148.0;-116.0
4600;33.5;149.5;-116.0
4700;160.0;156.0;4.0
4800;28.0;144.0;-116.0
4900;-48.0;148.0;-196.0
5000;72.0;148.0;-76.0
5100;-48.0;148.0;-196.0
5200;-249.5;146.5;-396.0
5300;94.0;130.0;-36.0
5400;104.5;140.5;-36.0
5500;-17.0;139.0;-156.0
5600;127.0;163.0;-36.0
5700;103.0;139.0;-36.0
5800;-344.5;131.5;-476.0
5900;98.5;134.5;-36.0
6000;72.0;148.0;-76.0
6100;236.0;192.0;44.0
6200;236.0;192.0;44.0
6300;247.0;203.0;44.0
6400;247.0;203.0;44.0
6500;368.0;324.0;44.0
6600;167.0;203.0;-36.0
6700;687.0;203.0;484.0
6800;247.0;203.0;44.0
6900;241.5;197.5;44.0
7000;298.0;214.0;84.0
7100;338.0;214.0;124.0
7200;343.5;219.5;124.0
7300;327.0;203.0;124.0
7400;407.0;203.0;204.0
7500;756.0;192.0;564.0
7600;305.0;181.0;124.0
7700;332.5;208.5;124.0
7800;277.5;153.5;124.0
7900;327.0;203.0;124.0
8000;765.5;121.5;644.0
8100;282.0;198.0;84.0
8200;410.5;206.5;204.0
8300;385.0;181.0;204.0
8400;402.0;198.0;204.0
8500;402.0;198.0;204.0
8600;539.0;215.0;324.0
8700;402.0;198.0;204.0
8800;402.0;198.0;204.0
8900;341.0;137.0;204.0
9000;-61.0;175.0;-236.0
9100;449.5;165.5;284.0
9200;539.0;175.0;364.0
9300;459.0;175.0;284.0
9400;28.5;184.5;-156.0
9500;320.0;156.0;164.0
9600;360.0;156.0;204.0
9700;421.0;137.0;284.0
9800;421.0;137.0;284.0
9900;861.0;137.0;724.0
10000;489.5;165.5;324.0
10100;501.0;137.0;364.0
10200;501.0;137.0;364.0
10300;562.0;118.0;444.0
10400;545.0;61.0;484.0
10500;783.0;99.0;684.0
10600;453.5;89.5;364.0
10700;520.0;156.0;364.0
10800;621.0;137.0;484.0
10900;583.0;99.0;484.0
11000;522.0;118.0;404.0
11100;562.0;118.0;444.0
11200;562.0;118.0;444.0
11300;221.0;137.0;84.0
11400;661.0;137.0;524.0
11500;543.0;99.0;444.0
11600;514.5;70.5;444.0
11700;429.0;-15.0;444.0
11800;581.0;137.0;444.0
11900;701.0;137.0;564.0
12000;649.5;165.5;484.0
12100;651.5;127.5;524.0
12200;661.0;137.0;524.0
12300;661.0;137.0;524.0
12400;474.0;70.0;404.0
12500;1065.5;101.5;964.0
12600;625.5;101.5;524.0
12700;1097.0;133.0;964.0
12800;636.0;112.0;524.0
12900;724.0;280.0;444.0
13000;676.0;112.0;564.0
13100;663.5;59.5;604.0
13200;817.0;133.0;684.0
13300;716.0;112.0;604.0
13400;617.0;133.0;484.0
13500;716.0;112.0;604.0
13600;716.0;112.0;604.0
13700;716.0;112.0;604.0
13800;747.5;143.5;604.0
13900;636.0;112.0;524.0
14000;836.0;112.0;724.0
14100;754.0;70.0;684.0
14200;796.0;112.0;684.0
14300;796.0;112.0;684.0
14400;756.0;112.0;644.0
14500;748.0;-56.0;804.0
14600;775.0;91.0;684.0
14700;545.0;301.0;244.0
14800;817.0;133.0;684.0
14900;968.5;164.5;804.0
15000;878.0;154.0;724.0
15100;953.0;189.0;764.0
15200;982.0;218.0;764.0
15300;585.5;261.5;324.0
15400;982.0;218.0;764.0
15500;982.0;218.0;764.0
15600;1011.0;247.0;764.0
15700;1011.0;247.0;764.0
15800;1011.0;247.0;764.0
15900;1131.0;367.0;764.0
16000;1021.0;297.0;724.0
16100;1181.0;337.0;844.0
16200;1061.0;337.0;724.0
16300;1181.0;337.0;844.0
16400;1081.0;357.0;724.0
16500;1181.0;337.0;844.0
16600;1171.0;327.0;844.0
16700;1601.0;317.0;1284.0
16800;1161.0;317.0;844.0
16900;1191.0;347.0;844.0
