bot,family,sample_id,total_pnl,total_fills,path_mode,avg_block_steps,avg_passive_fill_prob,avg_passive_qty_scale,avg_aggressive_slip_prob,avg_aggressive_slip_ticks,day_-1_pnl,day_-2_pnl,day_0_pnl
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_001,-24558.0,2197,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,51730.0,-38694.0,-37594.0
TradervR1_34_1,bootstrap_balanced,bootstrap_balanced_002,132084.5,2114,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9404.0,-16500.5,139181.0
TradervR1_34_1,bootstrap_path,bootstrap_path_001,-5179.0,2110,bootstrap,308.0,1.0,1.0,0.0,1.0,-24851.0,26756.0,-7084.0
TradervR1_34_1,bootstrap_path,bootstrap_path_002,80642.0,2225,bootstrap,337.3333,1.0,1.0,0.0,1.0,21028.0,49274.0,10340.0
TradervR1_34_1,original_noise,original_noise_001,286209.0,2131,original,0.0,0.980006,0.993392,0.010975,1.0,94961.0,95398.0,95850.0
TradervR1_34_1,original_noise,original_noise_002,284710.0,2114,original,0.0,0.95822,0.976527,0.019165,1.0,94442.0,95065.0,95203.0
TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,bootstrap_balanced,bootstrap_balanced_001,-31489.0,2487,bootstrap,322.3333,0.922312,0.95269,0.03845,1.0,44164.0,-38513.0,-37140.0
TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,bootstrap_balanced,bootstrap_balanced_002,131200.0,2437,bootstrap,377.6667,0.911413,0.916122,0.043788,1.0,9211.0,-16315.0,138304.0
TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,bootstrap_path,bootstrap_path_001,-3672.5,2396,bootstrap,308.0,1.0,1.0,0.0,1.0,-24612.0,27029.0,-6089.5
TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,bootstrap_path,bootstrap_path_002,81919.0,2549,bootstrap,337.3333,1.0,1.0,0.0,1.0,21127.0,49938.0,10854.0
TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,original_noise,original_noise_001,287792.0,2423,original,0.0,0.980006,0.993392,0.010975,1.0,95162.0,95903.0,96727.0
TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,original_noise,original_noise_002,286113.0,2391,original,0.0,0.95822,0.976527,0.019165,1.0,95055.0,95056.0,96002.0
